node,vip,rf_imp,logp,lasso
A1CF,0.265721977,0.002082291,0.131961518,0
AADAC,0.137567791,0.003740431,0.00709482,0
AAMP,0.415423219,0.001219647,0.341600389,0
AARD,0.233752752,0.001790215,0.179285909,0
AASDHPPT,0.266551749,3.72E-18,0.087491306,0
AATF,0.467053664,0.008619425,0.410214781,0
ABCF3,0.182587198,0.00335132,0.070512048,0
ABHD11,0.354212885,1.92E-18,0.331429109,0
ABHD12,0.452086794,0,0.353345223,0
ABHD16A,0.141778935,0.002095505,0.018602149,0
ABHD17A,0.410575993,0.00217087,0.366387844,0
ABHD17B,0.334749746,3.42E-18,0.123565587,0
ABHD17C,0.443230492,0.001555623,0.398467675,0
ABHD4,0.595072052,0.006380737,0.50739031,0
ABHD5,0.282431073,0,0.108394173,0
ABHD6,0.699697859,0.013781837,0.655776875,0
ABHD8,0.195310496,0.001359581,0.146951528,0
ABI1,0.275775497,0.000737569,0.076364568,0
ABI3,0.371477634,0.000496543,0.050712056,0
ABLIM1,0.328499694,8.69E-18,0.22047197,0
ABLIM3,0.237717342,0.002440695,0.131589917,0
ABRAXAS2,0.215403004,0.001412326,0.074066,0
ABT1,0.287224869,0.000647664,0.096015941,0
ABTB1,0.214814272,1.08E-18,0.049457667,0
ACAA1,0.315412272,0.001281154,0.117663271,0
ACAA2,0.488033464,0.004368054,0.473052252,0
ACADL,0.184024837,0.001130842,0.127640128,0
ACADM,0.119461753,0,0.041258462,0
ACADVL,0.172107804,0.001275659,0.020901564,0
ACAP1,0.134611399,0.001366942,0.004183934,0
ACAT2,0.335373474,0.005506478,0.166097875,0
ACBD4,0.044598315,8.81E-18,0.004794123,0
ACKR2,0.195059763,0.002237664,0.058449166,0
ACMSD,0.08026884,0,0.05698737,0
ACOT1,0.16763611,0.000986733,0.047602661,0
ACOT12,0.072641086,0.001850905,0.069711144,0
ACOT2,0.121544287,0.000231309,0.039253791,0
ACOT4,0.152586517,0.000537793,0.076464201,0
ACOT7,0.318269721,0.000725831,0.098637819,0
ACOT8,0.352887173,0.00553236,0.337412123,0
ACOX1,0.252029599,0.000245327,0.10646907,0
ACOX3,0.304330057,0.0035677,0.13322928,0
ACP1,0.437490197,1.38E-18,0.269906571,0
ACP2,0.617763571,0.006398118,0.475246454,0
ACP3,0.581444173,0.002806369,0.339355224,0
ACP4,0.395154854,0.001205919,0.545558937,0
ACP5,0.261004307,0.001556975,0.086926006,0
ACP6,0.426064863,2.40E-19,0.389219555,0
ACSF2,0.686434372,0.000971496,0.59336337,0
ACSM2B,0.048501971,2.64E-18,0.021585919,0
ACSS1,0.575881291,9.59E-19,0.608407752,0
ACTL6A,0.416144238,6.59E-19,0.274129873,0
ACTL9,0.070789451,1.20E-19,0.008946337,0
ACTN1,0.608959556,0.002665106,0.374945844,0
ACTN2,0.042361135,1.20E-19,0.139040122,0
ACTN3,0.296871948,0.002116238,0.160968694,0
ACY1,0.483813954,0.010789775,0.602581951,0
ACY3,0.045191963,4.79E-19,0.14041509,0
ACYP2,0.229723352,0.002427336,0.075012539,0
ADA,0.384961229,0.003198862,0.209737683,0
ADA2,0.406922065,0.005333349,0.295612156,0
ADAM12,0.272102986,5.99E-19,0.214204077,0
ADAMTS12,0.282887844,0.004327315,0.180359984,0
ADAMTSL3,0.405649936,1.92E-18,0.29353434,0
ADAMTSL5,0.346326256,0.000718031,0.247588616,0
ADAT3,0.336631715,0.000843317,0.175408246,0
ADGRD1,0.528773169,0.001681096,0.137026931,0
ADGRF5,0.113141231,0.000247372,0.0693842,0
ADGRG7,0.262897018,0.003230878,0.087913113,0
ADI1,0.324897929,0.000267338,0.134227586,0
ADIPOQ,0.025426943,1.20E-18,0.018611883,0
ADRA2C,0.208136151,4.79E-19,0.091950423,0
AEBP2,0.380705193,0.000987318,0.200118553,0
AEN,0.305937419,0.002582799,0.197380377,0
AFF4,0.126570559,7.19E-19,0.026816945,0
AGBL2,0.092860974,0.001657332,0.071287652,0
AGFG1,0.213848583,0.001101821,0.028516154,0
AGK,0.483744853,0.000359986,0.435631015,0
AGMAT,0.331056311,4.31E-18,0.358913142,0
AGPAT3,0.449747952,5.27E-18,0.415286159,0
AGPAT4,0.313655778,0.003068609,0.173541249,0
AGR2,0.148797274,0.000517748,0.049720651,0
AGR3,0.341343816,9.59E-19,0.15657002,0
AGT,0.092127767,2.40E-19,0.008719218,0
AGXT,0.101990263,0.001434961,0.029826131,0
AHCY,0.372901658,0.001499079,0.192655081,0
AHCYL1,0.357859201,0.002453598,0.175724375,0
AHCYL2,0.05847885,0.004797865,0.045992722,0
AHNAK2,0.721471676,4.79E-18,0.501734517,0
AHSP,0.183841892,0.005823546,0.112122175,0
AIDA,0.41114228,0.017960787,0.430981284,0
AIF1L,0.414340832,4.79E-18,0.062966285,0
AIG1,0.262960332,4.31E-18,0.126033307,0
AIMP2,0.497664735,0.003607336,0.502514429,0
AIPL1,0.133368457,0,0.112150147,0
AK8,0.148223471,0.004016103,0.006569119,0
AKAP17A,0.334496039,6.23E-18,0.168011096,0
AKAP7,0.508383887,0.005420016,0.337424537,0
AKAP8L,0.338818917,1.80E-19,0.200708339,0
AKAP9,0.228023804,7.67E-18,0.042305397,0
AKR1B1,0.548747122,1.92E-18,0.541586104,0
AKR1B10,0.130007011,0.003856264,0.222073196,0
AKR1C3,0.389631063,0.017712475,0.258038544,0
AKR1D1,0.277143121,0.00053458,0.194525684,0
AKT1,0.236390974,0.003490847,0.082795272,0
AKT2,0.383707113,0.00585717,0.27531281,0
AKTIP,0.564529064,0.004876127,0.468474035,0
ALAS1,0.169298194,1.44E-18,0.01882338,0
ALDH3B1,0.411671626,0.000754471,0.313002489,0
ALDH7A1,0.399906828,0.001313527,0.137927196,0
ALDOC,0.395050234,0.001657186,0.512871841,0
ALG10,0.069291418,4.31E-18,0.024492244,0
ALG10B,0.205129187,8.63E-18,0.03480415,0
ALG13,0.289567361,0.000590352,0.186697161,0
ALKBH3,0.240890261,0.000952447,0.063976087,0
ALKBH4,0.170593345,0.00166945,0.069246333,0
ALKBH7,0.332987569,0.002842234,0.16876114,0
ALKBH8,0.342629964,4.79E-19,0.160054165,0
ALLC,0.471803711,0.003005397,0.357939305,0.064605108
ALOX15B,0.263858387,3.36E-18,0.149454883,0
ALOX5,0.179498728,0.000754202,0.008806991,0
ALOX5AP,0.381019682,0.000242874,0.13602214,0
ALPP,0.17297291,0.000263435,0.055085784,0
ALX1,0.054656251,0.000264768,0.023501517,0
ALX4,0.357145295,0.007637729,0.39870722,0
AMIGO1,0.36589357,0.002096445,0.142045854,0
AMMECR1,0.306640223,0.001248564,0.162536579,0
AMOT,0.535078582,0.001298423,0.404644307,0
AMOTL2,0.473054091,0.000268309,0.236609897,0
AMPD3,0.212034848,1.38E-18,0.03323705,0
AMT,0.531963269,0.000737469,0.428036634,0
ANAPC11,0.289039238,3.83E-18,0.210797426,0
ANAPC2,0.429734136,0,0.395055053,0
ANK1,0.056289804,1.20E-19,0.001769485,0
ANK3,0.091636715,0.001140772,0.025468392,0
ANKRD1,0.088590687,0.003326658,0.046783368,0
ANKRD10,0.341387806,0.001610886,0.328591445,0
ANKRD11,0.249377187,0.002366425,0.098540515,0
ANKRD23,0.154931853,0.001249833,0.113500012,0
ANKRD28,0.390229973,0.000910724,0.153370372,0
ANKRD29,0.344654892,0.002281149,0.16141038,0
ANKRD33,0.160404303,0,0.023553815,0
ANKRD36,0.067103826,1.20E-19,0.036045182,0
