node,type
IGSF1,mRNA
ASPN,mRNA
SLC5A8,mRNA
FABP7,mRNA
COL10A1,mRNA
CRYGD,mRNA
KIF18B,mRNA
CENPA,mRNA
hsa-mir-7641-1,miRNA
ZIC5,mRNA
TROAP,mRNA
SFRP4,mRNA
NOX4,mRNA
C11orf87,mRNA
MYBL2,mRNA
COMP,mRNA
AMH,mRNA
WDR72,mRNA
UBE2C,mRNA
HOXB5,mRNA
KRT9,mRNA
hsa-mir-210,miRNA
IL31RA,mRNA
TRIM31,mRNA
CARTPT,mRNA
VGF,mRNA
UGT2B15,mRNA
hsa-mir-592,miRNA
CA1,mRNA
C02990,Metabolite
STMN2,mRNA
C00882,Metabolite
ANKRD30A,mRNA
SULT1E1,mRNA
LEFTY2,mRNA
CTHRC1,mRNA
COL11A1,mRNA
ATP12A,mRNA
NEIL3,mRNA
MUC5AC,mRNA
AL645922.1,mRNA
ST6GALNAC5,mRNA
CDC20,mRNA
